"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Deck","Location","anrede"
"0","3","male",22,1,0,7.25,"S",NA,NA,"Mr"
"1","1","female",38,1,0,71.2833,"C","C","steuerbord","Mrs"
"1","3","female",26,0,0,7.925,"S",NA,NA,"Miss"
"1","1","female",35,1,0,53.1,"S","C","steuerbord","Mrs"
"0","3","male",35,0,0,8.05,"S",NA,NA,"Mr"
"0","3","male",30,0,0,8.4583,"Q",NA,NA,"Mr"
"0","1","male",54,0,0,51.8625,"S","E","backbord","Mr"
"0","3","male",2,3,1,21.075,"S",NA,NA,"Master"
"1","3","female",27,0,2,11.1333,"S",NA,NA,"Mrs"
"1","2","female",14,1,0,30.0708,"C",NA,NA,"Mrs"
"1","3","female",4,1,1,16.7,"S","G","backbord","Miss"
"1","1","female",58,0,0,26.55,"S","C","steuerbord","Miss"
"0","3","male",20,0,0,8.05,"S",NA,NA,"Mr"
"0","3","male",39,1,5,31.275,"S",NA,NA,"Mr"
"0","3","female",14,0,0,7.8542,"S",NA,NA,"Miss"
"1","2","female",55,0,0,16,"S",NA,NA,"Mrs"
"0","3","male",2,4,1,29.125,"Q",NA,NA,"Master"
"1","2","male",30,0,0,13,"S",NA,NA,"Mr"
"0","3","female",31,1,0,18,"S",NA,NA,"Mrs"
"1","3","female",35,0,0,7.225,"C",NA,NA,"Mrs"
"0","2","male",35,0,0,26,"S",NA,NA,"Mr"
"1","2","male",34,0,0,13,"S","D","backbord","Mr"
"1","3","female",15,0,0,8.0292,"Q",NA,NA,"Miss"
"1","1","male",28,0,0,35.5,"S","A","backbord","Mr"
"0","3","female",8,3,1,21.075,"S",NA,NA,"Miss"
"1","3","female",38,1,5,31.3875,"S",NA,NA,"Mrs"
"0","3","male",30,0,0,7.225,"C",NA,NA,"Mr"
"0","1","male",19,3,2,263,"S","C",NA,"Mr"
"1","3","female",21,0,0,7.8792,"Q",NA,NA,"Miss"
"0","3","male",30,0,0,7.8958,"S",NA,NA,"Mr"
"0","1","male",40,0,0,27.7208,"C",NA,NA,"Don"
"1","1","female",35,1,0,146.5208,"C","B","backbord","Mrs"
"1","3","female",21,0,0,7.75,"Q",NA,NA,"Miss"
"0","2","male",66,0,0,10.5,"S",NA,NA,"Mr"
"0","1","male",28,1,0,82.1708,"C",NA,NA,"Mr"
"0","1","male",42,1,0,52,"S",NA,NA,"Mr"
"1","3","male",30,0,0,7.2292,"C",NA,NA,"Mr"
"0","3","male",21,0,0,8.05,"S",NA,NA,"Mr"
"0","3","female",18,2,0,18,"S",NA,NA,"Miss"
"1","3","female",14,1,0,11.2417,"C",NA,NA,"Miss"
"0","3","female",40,1,0,9.475,"S",NA,NA,"Mrs"
"0","2","female",27,1,0,21,"S",NA,NA,"Mrs"
"0","3","male",30,0,0,7.8958,"C",NA,NA,"Mr"
"1","2","female",3,1,2,41.5792,"C",NA,NA,"Miss"
"1","3","female",19,0,0,7.8792,"Q",NA,NA,"Miss"
"0","3","male",30,0,0,8.05,"S",NA,NA,"Mr"
"0","3","male",30,1,0,15.5,"Q",NA,NA,"Mr"
"1","3","female",21,0,0,7.75,"Q",NA,NA,"Miss"
"0","3","male",30,2,0,21.6792,"C",NA,NA,"Mr"
"0","3","female",18,1,0,17.8,"S",NA,NA,"Mrs"
"0","3","male",7,4,1,39.6875,"S",NA,NA,"Master"
"0","3","male",21,0,0,7.8,"S",NA,NA,"Mr"
"1","1","female",49,1,0,76.7292,"C","D","steuerbord","Mrs"
"1","2","female",29,1,0,26,"S",NA,NA,"Mrs"
"0","1","male",65,0,1,61.9792,"C","B","backbord","Mr"
"1","1","male",30,0,0,35.5,"S","C","backbord","Mr"
"1","2","female",21,0,0,10.5,"S",NA,NA,"Miss"
"0","3","male",28.5,0,0,7.2292,"C",NA,NA,"Mr"
"1","2","female",5,1,2,27.75,"S",NA,NA,"Miss"
"0","3","male",11,5,2,46.9,"S",NA,NA,"Master"
"0","3","male",22,0,0,7.2292,"C",NA,NA,"Mr"
"1","1","female",38,0,0,80,NA,"B","backbord","Miss"
"0","1","male",45,1,0,83.475,"S","C","steuerbord","Mr"
"0","3","male",4,3,2,27.9,"S",NA,NA,"Master"
"0","1","male",30,0,0,27.7208,"C",NA,NA,"Mr"
"1","3","male",3.5,1,1,15.2458,"C",NA,NA,"Master"
"1","2","female",29,0,0,10.5,"S","F","steuerbord","Mrs"
"0","3","male",19,0,0,8.1583,"S",NA,NA,"Mr"
"1","3","female",17,4,2,7.925,"S",NA,NA,"Miss"
"0","3","male",26,2,0,8.6625,"S",NA,NA,"Mr"
"0","2","male",32,0,0,10.5,"S",NA,NA,"Mr"
"0","3","female",16,5,2,46.9,"S",NA,NA,"Miss"
"0","2","male",21,0,0,73.5,"S",NA,NA,"Mr"
"0","3","male",26,1,0,14.4542,"C",NA,NA,"Mr"
"1","3","male",32,0,0,56.4958,"S",NA,NA,"Mr"
"0","3","male",25,0,0,7.65,"S","F",NA,"Mr"
"0","3","male",30,0,0,7.8958,"S",NA,NA,"Mr"
"0","3","male",30,0,0,8.05,"S",NA,NA,"Mr"
"1","2","male",0.83,0,2,29,"S",NA,NA,"Master"
"1","3","female",30,0,0,12.475,"S",NA,NA,"Miss"
"0","3","male",22,0,0,9,"S",NA,NA,"Mr"
"1","3","male",29,0,0,9.5,"S",NA,NA,"Mr"
"1","3","female",21,0,0,7.7875,"Q",NA,NA,"Miss"
"0","1","male",28,0,0,47.1,"S",NA,NA,"Mr"
"1","2","female",17,0,0,10.5,"S",NA,NA,"Miss"
"1","3","female",33,3,0,15.85,"S",NA,NA,"Mrs"
"0","3","male",16,1,3,34.375,"S",NA,NA,"Mr"
"0","3","male",30,0,0,8.05,"S",NA,NA,"Mr"
"1","1","female",23,3,2,263,"S","C",NA,"Miss"
"0","3","male",24,0,0,8.05,"S",NA,NA,"Mr"
"0","3","male",29,0,0,8.05,"S",NA,NA,"Mr"
"0","3","male",20,0,0,7.8542,"S",NA,NA,"Mr"
"0","1","male",46,1,0,61.175,"S","E","steuerbord","Mr"
"0","3","male",26,1,2,20.575,"S",NA,NA,"Mr"
"0","3","male",59,0,0,7.25,"S",NA,NA,"Mr"
"0","3","male",30,0,0,8.05,"S",NA,NA,"Mr"
"0","1","male",71,0,0,34.6542,"C","A","steuerbord","Mr"
"1","1","male",23,0,1,63.3583,"C","D",NA,"Mr"
"1","2","female",34,0,1,23,"S",NA,NA,"Mrs"
"0","2","male",34,1,0,26,"S",NA,NA,"Mr"
"0","3","female",28,0,0,7.8958,"S",NA,NA,"Miss"
"0","3","male",30,0,0,7.8958,"S",NA,NA,"Mr"
"0","1","male",21,0,1,77.2875,"S","D","backbord","Mr"
"0","3","male",33,0,0,8.6542,"S",NA,NA,"Mr"
"0","3","male",37,2,0,7.925,"S",NA,NA,"Mr"
"0","3","male",28,0,0,7.8958,"S",NA,NA,"Mr"
"1","3","female",21,0,0,7.65,"S",NA,NA,"Miss"
"1","3","male",30,0,0,7.775,"S",NA,NA,"Mr"
"0","3","male",38,0,0,7.8958,"S",NA,NA,"Mr"
"1","3","female",21,1,0,24.15,"Q",NA,NA,"Miss"
"0","1","male",47,0,0,52,"S","C","backbord","Mr"
"0","3","female",14.5,1,0,14.4542,"C",NA,NA,"Miss"
"0","3","male",22,0,0,8.05,"S",NA,NA,"Mr"
"0","3","female",20,1,0,9.825,"S",NA,NA,"Miss"
"0","3","female",17,0,0,14.4583,"C",NA,NA,"Miss"
"0","3","male",21,0,0,7.925,"S",NA,NA,"Mr"
"0","3","male",70.5,0,0,7.75,"Q",NA,NA,"Mr"
"0","2","male",29,1,0,21,"S",NA,NA,"Mr"
"0","1","male",24,0,1,247.5208,"C","B",NA,"Mr"
"0","3","female",2,4,2,31.275,"S",NA,NA,"Miss"
"0","2","male",21,2,0,73.5,"S",NA,NA,"Mr"
"0","3","male",30,0,0,8.05,"S",NA,NA,"Mr"
"0","2","male",32.5,1,0,30.0708,"C",NA,NA,"Mr"
"1","2","female",32.5,0,0,13,"S","E","steuerbord","Miss"
"0","1","male",54,0,1,77.2875,"S","D","backbord","Mr"
"1","3","male",12,1,0,11.2417,"C",NA,NA,"Master"
"0","3","male",30,0,0,7.75,"Q",NA,NA,"Mr"
"1","3","male",24,0,0,7.1417,"S",NA,NA,"Mr"
"1","3","female",21,1,1,22.3583,"C","F",NA,"Miss"
"0","3","male",45,0,0,6.975,"S",NA,NA,"Mr"
"0","3","male",33,0,0,7.8958,"C",NA,NA,"Mr"
"0","3","male",20,0,0,7.05,"S",NA,NA,"Mr"
"0","3","female",47,1,0,14.5,"S",NA,NA,"Mrs"
"1","2","female",29,1,0,26,"S",NA,NA,"Mrs"
"0","2","male",25,0,0,13,"S",NA,NA,"Mr"
"0","2","male",23,0,0,15.0458,"C",NA,NA,"Mr"
"1","1","female",19,0,2,26.2833,"S","D","steuerbord","Miss"
"0","1","male",37,1,0,53.1,"S","C","steuerbord","Mr"
"0","3","male",16,0,0,9.2167,"S",NA,NA,"Mr"
"0","1","male",24,0,0,79.2,"C","B","backbord","Mr"
"0","3","female",35,0,2,15.2458,"C",NA,NA,"Mrs"
"1","3","female",22,0,0,7.75,"S",NA,NA,"Miss"
"1","3","female",24,1,0,15.85,"S",NA,NA,"Mrs"
"0","3","male",19,0,0,6.75,"Q",NA,NA,"Mr"
"0","2","male",18,0,0,11.5,"S",NA,NA,"Mr"
"0","2","male",19,1,1,36.75,"S",NA,NA,"Mr"
"1","3","male",27,0,0,7.7958,"S",NA,NA,"Mr"
"0","3","female",9,2,2,34.375,"S",NA,NA,"Miss"
"0","2","male",36.5,0,2,26,"S","F","backbord","Mr"
"0","2","male",42,0,0,13,"S",NA,NA,"Rev"
"0","2","male",51,0,0,12.525,"S",NA,NA,"Rev"
"1","1","female",22,1,0,66.6,"S","C","backbord","Mrs"
"0","3","male",55.5,0,0,8.05,"S",NA,NA,"Mr"
"0","3","male",40.5,0,2,14.5,"S",NA,NA,"Mr"
"0","3","male",30,0,0,7.3125,"S",NA,NA,"Mr"
"0","1","male",51,0,1,61.3792,"C",NA,NA,"Mr"
"1","3","female",16,0,0,7.7333,"Q",NA,NA,"Miss"
"0","3","male",30,0,0,8.05,"S",NA,NA,"Mr"
"0","3","male",30,0,0,8.6625,"S",NA,NA,"Mr"
"0","3","male",3.5,8,2,69.55,"S",NA,NA,"Master"
"0","3","male",44,0,1,16.1,"S",NA,NA,"Mr"
"1","2","female",40,0,0,15.75,"S",NA,NA,"Mrs"
"0","3","male",26,0,0,7.775,"S",NA,NA,"Mr"
"0","3","male",17,0,0,8.6625,"S",NA,NA,"Mr"
"0","3","male",1,4,1,39.6875,"S",NA,NA,"Master"
"1","3","male",9,0,2,20.525,"S",NA,NA,"Master"
"1","1","female",35,0,1,55,"S","E","steuerbord","Mrs"
"0","3","female",45,1,4,27.9,"S",NA,NA,"Mrs"
"0","1","male",30,0,0,25.925,"S",NA,NA,"Mr"
"0","3","male",28,0,0,56.4958,"S",NA,NA,"Mr"
"0","1","male",61,0,0,33.5,"S","B","steuerbord","Mr"
"0","3","male",4,4,1,29.125,"Q",NA,NA,"Master"
"1","3","female",1,1,1,11.1333,"S",NA,NA,"Miss"
"0","3","male",21,0,0,7.925,"S",NA,NA,"Mr"
"0","1","male",56,0,0,30.6958,"C","A","steuerbord","Mr"
"0","3","male",18,1,1,7.8542,"S",NA,NA,"Mr"
"0","3","male",3.5,3,1,25.4667,"S",NA,NA,"Master"
"0","1","female",50,0,0,28.7125,"C","C","steuerbord","Miss"
"0","2","male",30,0,0,13,"S",NA,NA,"Mr"
"0","3","male",36,0,0,0,"S",NA,NA,"Mr"
"0","3","female",21,8,2,69.55,"S",NA,NA,"Miss"
"0","2","male",30,0,0,15.05,"C",NA,NA,"Mr"
"0","3","male",9,4,2,31.3875,"S",NA,NA,"Master"
"1","2","male",1,2,1,39,"S","F","backbord","Master"
"1","3","female",4,0,2,22.025,"S",NA,NA,"Miss"
"0","1","male",30,0,0,50,"S","A","backbord","Mr"
"1","3","female",35,1,0,15.5,"Q",NA,NA,"Mrs"
"1","1","male",45,0,0,26.55,"S",NA,NA,"Mr"
"0","3","male",40,1,1,15.5,"Q",NA,NA,"Mr"
"0","3","male",36,0,0,7.8958,"S",NA,NA,"Mr"
"1","2","female",32,0,0,13,"S",NA,NA,"Mrs"
"0","2","male",19,0,0,13,"S",NA,NA,"Mr"
"1","3","female",19,1,0,7.8542,"S",NA,NA,"Miss"
"1","2","male",3,1,1,26,"S","F","backbord","Master"
"1","1","female",44,0,0,27.7208,"C","B","backbord","Mrs"
"1","1","female",58,0,0,146.5208,"C","B","backbord","Miss"
"0","3","male",30,0,0,7.75,"Q",NA,NA,"Mr"
"0","3","male",42,0,1,8.4042,"S",NA,NA,"Mr"
"1","3","female",21,0,0,7.75,"Q",NA,NA,"Miss"
"0","2","female",24,0,0,13,"S",NA,NA,"Miss"
"0","3","male",28,0,0,9.5,"S",NA,NA,"Mr"
"0","3","male",30,8,2,69.55,"S",NA,NA,"Mr"
"0","3","male",34,0,0,6.4958,"S",NA,NA,"Mr"
"0","3","male",45.5,0,0,7.225,"C",NA,NA,"Mr"
"1","3","male",18,0,0,8.05,"S",NA,NA,"Mr"
"0","3","female",2,0,1,10.4625,"S","G","backbord","Miss"
"0","3","male",32,1,0,15.85,"S",NA,NA,"Mr"
"1","3","male",26,0,0,18.7875,"C",NA,NA,"Mr"
"1","3","female",16,0,0,7.75,"Q",NA,NA,"Miss"
"1","1","male",40,0,0,31,"C","A","steuerbord","Mr"
"0","3","male",24,0,0,7.05,"S",NA,NA,"Mr"
"1","2","female",35,0,0,21,"S",NA,NA,"Miss"
"0","3","male",22,0,0,7.25,"S",NA,NA,"Mr"
"0","2","male",30,0,0,13,"S",NA,NA,"Mr"
"0","3","male",30,1,0,7.75,"Q",NA,NA,"Mr"
"1","1","female",31,1,0,113.275,"C","D","backbord","Miss"
"1","3","female",27,0,0,7.925,"S",NA,NA,"Miss"
"0","2","male",42,1,0,27,"S",NA,NA,"Mr"
"1","1","female",32,0,0,76.2917,"C","D","steuerbord","Miss"
"0","2","male",30,0,0,10.5,"S",NA,NA,"Mr"
"1","3","male",16,0,0,8.05,"S",NA,NA,"Mr"
"0","2","male",27,0,0,13,"S",NA,NA,"Mr"
"0","3","male",51,0,0,8.05,"S",NA,NA,"Mr"
"0","3","male",30,0,0,7.8958,"S",NA,NA,"Mr"
"1","1","male",38,1,0,90,"S","C","steuerbord","Mr"
"0","3","male",22,0,0,9.35,"S",NA,NA,"Mr"
"1","2","male",19,0,0,10.5,"S",NA,NA,"Mr"
"0","3","male",20.5,0,0,7.25,"S",NA,NA,"Mr"
"0","2","male",18,0,0,13,"S",NA,NA,"Mr"
"0","3","female",21,3,1,25.4667,"S",NA,NA,"Miss"
"1","1","female",35,1,0,83.475,"S","C","steuerbord","Mrs"
"0","3","male",29,0,0,7.775,"S",NA,NA,"Mr"
"0","2","male",59,0,0,13.5,"S",NA,NA,"Mr"
"1","3","female",5,4,2,31.3875,"S",NA,NA,"Miss"
"0","2","male",24,0,0,10.5,"S",NA,NA,"Mr"
"0","3","female",21,0,0,7.55,"S",NA,NA,"Miss"
"0","2","male",44,1,0,26,"S",NA,NA,"Mr"
"1","2","female",8,0,2,26.25,"S",NA,NA,"Miss"
"0","2","male",19,0,0,10.5,"S",NA,NA,"Mr"
"0","2","male",33,0,0,12.275,"S",NA,NA,"Mr"
"0","3","female",21,1,0,14.4542,"C",NA,NA,"Miss"
"1","3","female",21,1,0,15.5,"Q",NA,NA,"Miss"
